plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Class
1,1,1.4210339667707064,11.74300859942828,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,207.1 secs,Planet NICFI Public,,POINT(1.421033966770706 11.74300859942828),Treeds areas
1,2,1.4210339667707064,11.743228477798127,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,207.1 secs,Planet NICFI Public,,POINT(1.421033966770706 11.743228477798127),Treeds areas
1,3,1.421258545591767,11.74300859942828,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,207.1 secs,Planet NICFI Public,,POINT(1.421258545591767 11.74300859942828),Treeds areas
1,4,1.421258545591767,11.743228477798127,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,207.1 secs,Planet NICFI Public,,POINT(1.421258545591767 11.743228477798127),Treeds areas
2,5,1.7713769275773197,12.314090668666026,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,-0.1 secs,Planet NICFI Public,,POINT(1.77137692757732 12.314090668666026),Cultivated land
2,6,1.7713769275773197,12.314310080545823,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,-0.1 secs,Planet NICFI Public,,POINT(1.77137692757732 12.314310080545823),Cultivated land
2,7,1.7716015063983803,12.314090668666026,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,-0.1 secs,Planet NICFI Public,,POINT(1.77160150639838 12.314090668666026),Cultivated land
2,8,1.7716015063983803,12.314310080545823,anis.ghattassi@oss.org.tn,false,2022-11-24 14:21,-0.1 secs,Planet NICFI Public,,POINT(1.77160150639838 12.314310080545823),Cultivated land
3,9,-1.031366758875587,14.01968426044536,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,70.3 secs,Planet NICFI Public,,POINT(-1.031366758875587 14.01968426044536),Prairies
3,10,-1.031366758875587,14.019902149534445,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,70.3 secs,Planet NICFI Public,,POINT(-1.031366758875587 14.019902149534445),Prairies
3,11,-1.0311421800545264,14.01968426044536,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,70.3 secs,Planet NICFI Public,,POINT(-1.031142180054526 14.01968426044536),Prairies
3,12,-1.0311421800545264,14.019902149534445,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,70.3 secs,Planet NICFI Public,,POINT(-1.031142180054526 14.019902149534445),Prairies
4,13,-4.184453406135106,11.17074084430719,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,27.5 secs,Planet NICFI Public,,POINT(-4.184453406135106 11.17074084430719),Cultivated land
4,14,-4.184453406135106,11.170961168223613,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,27.5 secs,Planet NICFI Public,,POINT(-4.184453406135106 11.170961168223613),Cultivated land
4,15,-4.184228827314046,11.17074084430719,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,27.5 secs,Planet NICFI Public,,POINT(-4.184228827314046 11.17074084430719),Cultivated land
4,16,-4.184228827314046,11.170961168223613,anis.ghattassi@oss.org.tn,false,2022-11-24 14:23,27.5 secs,Planet NICFI Public,,POINT(-4.184228827314046 11.170961168223613),Cultivated land
5,17,-4.885139327748333,11.857321609735067,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-14.0 secs,Planet NICFI Public,,POINT(-4.885139327748333 11.857321609735067),Cultivated land
5,18,-4.885139327748333,11.857541396475156,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-14.0 secs,Planet NICFI Public,,POINT(-4.885139327748333 11.857541396475156),Cultivated land
5,19,-4.884914748927272,11.857321609735067,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-14.0 secs,Planet NICFI Public,,POINT(-4.884914748927272 11.857321609735067),Cultivated land
5,20,-4.884914748927272,11.857541396475156,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-14.0 secs,Planet NICFI Public,,POINT(-4.884914748927272 11.857541396475156),Cultivated land
6,21,0.019662123544253042,14.359337781158132,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,7.7 secs,Planet NICFI Public,,POINT(0.019662123544253 14.359337781158132),Cultivated land
6,22,0.019662123544253042,14.359555343899174,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,7.7 secs,Planet NICFI Public,,POINT(0.019662123544253 14.359555343899174),Cultivated land
6,23,0.019886702365313737,14.359337781158132,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,7.7 secs,Planet NICFI Public,,POINT(0.019886702365314 14.359337781158132),Cultivated land
6,24,0.019886702365313737,14.359555343899174,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,7.7 secs,Planet NICFI Public,,POINT(0.019886702365314 14.359555343899174),Cultivated land
7,25,0.6035670582219419,11.51424072699892,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-11.8 secs,Planet NICFI Public,,POINT(0.603567058221942 11.51424072699892),Prairies
7,26,0.6035670582219419,11.514460786113133,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-11.8 secs,Planet NICFI Public,,POINT(0.603567058221942 11.514460786113133),Prairies
7,27,0.6037916370430026,11.51424072699892,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-11.8 secs,Planet NICFI Public,,POINT(0.603791637043003 11.51424072699892),Prairies
7,28,0.6037916370430026,11.514460786113133,anis.ghattassi@oss.org.tn,false,2022-11-24 14:24,-11.8 secs,Planet NICFI Public,,POINT(0.603791637043003 11.514460786113133),Prairies
8,29,-0.6810237980689736,12.314090668666026,anis.ghattassi@oss.org.tn,false,2022-11-24 14:25,-3.8 secs,Planet NICFI Public,,POINT(-0.681023798068974 12.314090668666026),Cultivated land
